"gene_id","gene_name","1373-liver","1373-lung","1394-liver","1394-lung","1398-liver","1398-lung","1399-liver","1399-lung","1548-lung","6843-liver","6843-lung","6844-liver","6844-lung","997-lung"
"ENSMUSG00000000001","Gnai3",86.36967,122.180978,103.642487,95.362351,106.433422,17.602539,79.866999,89.585354,100.456467,83.817204,87.839847,77.748958,110.510533,105.005556
"ENSMUSG00000000003","Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028","Cdc45",56.911285,54.731095,73.953523,36.760373,48.752037,18.879832,39.29372,29.510738,61.591712,42.299493,48.236298,42.22132,63.855061,65.939693
"ENSMUSG00000000037","Scml2",6.016153,6.37157,9.61141,4.356377,1.703188,2.49836,6.416845,12.703087,4.586708,2.7315,6.603362,4.025163,7.551936,3.925385
"ENSMUSG00000000049","Apoh",171.825039,1.511936,227.537262,4.664275,2.661221,2.033115,54.073494,5.4212,7.109478,1.299229,59.438415,4.209734,106.559716,1.081233
"ENSMUSG00000000056","Narf",23.378192,18.847146,19.475879,16.704466,20.48532,6.141927,20.454735,21.772924,20.737558,30.843306,24.965462,18.411598,44.539361,20.145063
"ENSMUSG00000000058","Cav2",4.181802,58.969126,7.871958,81.867545,6.240791,36.97851,43.0069,21.537115,37.755691,80.660228,33.321569,29.978533,34.140978,22.806704
"ENSMUSG00000000078","Klf6",18.372868,40.958017,16.680016,66.13018,27.849601,42.015417,70.869982,29.995124,37.429969,116.823285,17.709705,21.332979,17.180364,46.670163
"ENSMUSG00000000085","Scmh1",98.066098,139.224038,115.953931,57.771426,49.32841,59.852278,112.488766,86.177511,123.626217,97.875429,33.152144,31.796829,84.600809,33.514645
"ENSMUSG00000000088","Cox5a",345.425971,298.784874,381.756984,331.040399,397.713204,102.360095,209.819581,304.769654,381.732893,243.028604,520.260555,442.075599,309.304176,442.058643
"ENSMUSG00000000093","Tbx2",1.749069,3.703269,2.278578,4.35005,1.443261,10.4105,5.335052,7.607137,3.375387,11.51632,2.676591,2.965056,1.677178,2.26791
"ENSMUSG00000000094","Tbx4",0,2.731939,0.151348,2.427766,0,3.594361,0.138527,5.172777,2.477153,2.243648,0.290285,1.755306,0.051842,0.893701
"ENSMUSG00000000103","Zfy2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120","Ngfr",2.579451,0.182607,16.305378,0.318382,1.676135,0.191556,0.923338,1.2073,0.858168,0.334476,1.321198,1.779196,15.035207,0.345224
"ENSMUSG00000000125","Wnt3",3.596382,15.602261,7.07279,36.723865,5.632332,7.5709,7.914573,61.929715,13.699486,22.744117,2.873798,3.803653,21.758656,4.043993
"ENSMUSG00000000126","Wnt9a",1.867956,10.641565,3.605145,6.740742,2.390923,4.898395,3.656912,5.523017,5.176014,6.302826,3.05058,5.637954,2.646722,2.512889
"ENSMUSG00000000127","Fer",10.295957,30.589886,13.278119,26.150194,18.060215,12.298504,14.166693,14.522776,24.606895,12.719665,7.698225,9.715624,22.809362,21.556099
"ENSMUSG00000000131","Xpo6",63.320599,53.615312,65.311567,39.118178,49.635495,115.407611,65.678115,69.337702,67.236319,100.614397,47.979434,58.479295,72.846964,51.126285
"ENSMUSG00000000134","Tfe3",16.069386,23.170414,20.526563,28.175,18.162673,21.033444,17.855553,42.759002,22.20612,26.993935,28.074314,26.889104,23.280939,35.030334
"ENSMUSG00000000142","Axin2",10.524662,16.35806,26.223673,10.725149,21.732452,5.815339,12.232995,13.714079,9.893768,13.98786,10.732968,7.692209,19.01871,3.942176
"ENSMUSG00000000148","Brat1",10.608314,16.062156,13.878297,13.261593,14.537551,12.716259,17.07382,15.89911,13.06607,25.161688,12.52303,11.798241,20.877437,14.922659
"ENSMUSG00000000149","Gna12",41.281895,73.090363,48.066928,62.749563,44.133407,39.656642,48.002423,49.723576,50.036478,66.397132,38.083507,36.836054,61.953571,66.324438
"ENSMUSG00000000154","Slc22a18",5.070451,0.43532,9.563836,6.886732,0.049571,11.203311,2.358856,4.947323,1.562351,9.542049,6.612651,1.491701,5.178614,2.635067
"ENSMUSG00000000157","Itgb2l",0.131754,2.080983,0.373618,0.525762,1.471616,1.127961,0.376034,0.460847,0.877122,1.152633,1.54241,0.820272,1.296503,6.333437
"ENSMUSG00000000159","Igsf5",3.382012,14.883344,4.738589,26.55838,9.785651,11.79057,14.001883,11.380079,8.384352,21.240624,8.966947,18.759042,5.259873,24.856422
"ENSMUSG00000000167","Pih1d2",1.141747,11.43554,2.813003,4.685863,8.30398,3.380947,7.299181,3.288118,8.661129,7.004494,3.643089,7.164808,4.706018,5.616154
"ENSMUSG00000000168","Dlat",35.236702,49.117357,30.973944,48.637075,41.407025,15.553544,44.911562,42.935175,40.834321,36.995649,45.490377,42.277588,31.205294,52.621593
"ENSMUSG00000000171","Sdhd",179.422442,212.17287,195.400867,179.307321,324.258124,76.239541,191.371663,165.636813,222.805596,172.27481,225.514601,223.335055,188.129328,216.112876
"ENSMUSG00000000182","Fgf23",0.155331,0.03883,0.127216,0.07177,0,0,0.927367,0,0.203336,0,0,0,0.089894,0.304258
"ENSMUSG00000000183","Fgf6",0,0.015481,0.110197,0,0.012442,0.014647,0.02538,0,0.015958,0,0,0,0.035419,0
"ENSMUSG00000000184","Ccnd2",2.807884,2.151026,3.01965,2.777697,2.718357,4.88479,1.49923,1.025449,2.892579,3.01948,1.094952,4.679104,3.870288,2.43403
"ENSMUSG00000000194","Gpr107",18.189181,22.102571,11.767002,31.964981,15.905916,17.57503,20.449361,31.224214,18.249673,35.292715,20.646373,28.8833,17.873485,28.992546
"ENSMUSG00000000197","Nalcn",15.919585,12.167025,14.860203,11.66884,11.739771,4.396185,16.425224,17.04995,15.578768,11.040008,7.143271,4.669213,17.759908,10.63323
"ENSMUSG00000000202","Btbd17",19.978223,17.283717,68.685654,16.791785,4.900384,17.295118,8.649015,24.157777,10.643891,26.415424,21.377223,26.392838,115.832421,12.825776
